ticker,sector_code,industry_code
A,3,20
AA,2,37
AAAP,3,20
AABA,4,5
AACG,3,3
AAL,6,49
AAN,3,3
AAOI,7,15
AAON,7,56
AAP,6,10
AAPL,0,39
AAWW,7,29
ABBNY,7,50
ABBV,3,11
ABCL,3,7
ABCM,3,7
ABCO,3,3
ABEO,3,7
ABEV,3,19
ABG,6,10
ABMD,3,20
ABNB,4,5
ABR,5,21
ABT,3,20
ABUS,3,7
ABVEF,3,33
ABVX,3,11
ACAD,3,7
ACAS,5,60
ACB,3,11
ACC,5,21
ACGL,5,14
ACH,3,11
ACHC,3,4
ACHN,3,7
ACHR,7,34
ACI,3,33
ACIA,4,28
ACLS,0,23
ACLX,3,7
ACM,7,48
ACN,0,39
ADAM,5,21
ADBE,0,0
ADC,5,21
ADI,0,23
ADM,3,42
ADMA,3,7
ADNT,6,27
ADP,3,3
ADPT,3,20
ADSK,0,0
ADSW,7,44
ADT,3,3
ADTN,4,28
ADVS,0,0
ADXS,3,7
AEE,1,1
AEGR,3,7
AEHR,0,23
AEIS,7,15
AEM,2,37
AEO,6,10
AEP,1,1
AER,5,17
AERI,3,11
AES,3,11
AET,3,4
AFG,5,14
AFL,5,14
AFRM,3,3
AFSI,5,14
AG,2,37
AGI,2,37
AGIO,3,11
AGL,3,4
AGN,3,11
AGNC,5,21
AGNT,5,58
AGO,5,14
AGR,1,1
AGU,2,2
AGX,7,48
AHL,5,14
AHR,5,21
AHT,5,21
AI,0,0
AIG,5,14
AIMC,7,38
AIMT,3,11
AIRC,5,21
AIRM,3,4
AIT,7,38
AIV,5,21
AIZ,5,14
AJG,5,14
AJRD,7,34
AKAM,0,0
AKAOQ,3,11
AKRO,3,7
AKS,2,6
AL,5,17
ALAB,0,23
ALB,2,2
ALC,3,20
ALDR,3,7
ALFIQ,0,0
ALGM,0,23
ALGN,3,20
ALGT,6,49
ALIT,3,3
ALK,6,49
ALKS,3,11
ALL,5,14
ALLE,7,15
ALLGF,6,10
ALLK,3,7
ALLO,3,7
ALLY,5,17
ALM,2,37
ALNY,3,7
ALPN,3,7
ALR,3,20
ALSN,6,27
ALT,3,7
ALTM,2,2
ALTO,8,63
ALTR,0,0
ALU,4,28
ALV,6,27
ALXN,3,7
AM,8,41
AMAG,3,7
AMAT,0,23
AMBA,0,23
AMC,6,31
AMCR,7,12
AMCX,4,13
AMD,0,23
AME,7,50
AMED,3,4
AMG,5,17
AMGN,3,7
AMH,5,21
AMKR,0,23
AMLX,3,11
AMN,3,3
AMP,5,17
AMPL,0,0
AMPX,7,34
AMR,8,62
AMRN,3,7
AMRSQ,2,2
AMRZ,7,56
AMSG,3,4
AMT,5,21
AMTD,5,17
AMTM,0,39
AMWL,3,4
AMX,4,28
AMZN,4,5
AN,4,5
ANAB,3,7
ANAC,3,11
